BOROUGH,HOPE Area,Team Number,Needs NYPD?,Hard to Reach,Park,Station,Route,End of Line,Precinct,Training Site,
T,240,12,NO,,,7 Av,F-G,,78,PS261,
T,340,13,NO,,,Grand Army Plaza,2-3,,78,PS261,
T,341,11,NO,,,Eastern Pkwy - Brooklyn Museum,2-3,,78,PS261,
K,302,9,Y,,,,,,84,PS261,
K,307,9,Y,,,,,,84,PS261,
K,312,10,Y,,,,,,84,PS261,
K,313,10,N,,,,,,84,PS261,
K,314,10,Y,,,,,,84,PS261,
K,315,10,N,,,,,,84,PS261,
K,319,8,N,,,,,,84,PS261,
K,326,7,N,,,,,,84,PS261,
K,331,7,N,,,,,,84,PS261,
K,333,6,N,,,,,,84,PS261,
T,25,8,N,,,Jay St - MetroTech,R,,84,PS261,
T,26,7,N,,,DeKalb Av,B-Q-R,,84,PS261,
T,27,6,N,,,Atlantic Av - Barclays Ctr,D-N-R,,84,PS261,
T,173,9,N,,,High St,A-C,,84,PS261,
T,174,8,N,,,Jay St - MetroTech,A-C-F,,84,PS261,
T,175,7,N,,,Hoyt-Schermerhorn Sts,A-C-G,,84,PS261,
T,236,7,N,,,Bergen St,F-G,,84,PS261,
T,334,9,N,,,Clark St,2-3,,84,PS261,
T,335,8,N,,,Borough Hall,2-3,,84,PS261,
T,415,8,N,,,Borough Hall,4-5,,84,PS261,
K,45,2,Y,,,,,,88,PS261,
K,214,1,Y,,,,,,88,PS261,
K,260,1,Y,,,,,,88,PS261,
K,264,3,Y,,,,,,88,PS261,
K,273,1,Y,,,,,,88,PS261,
K,274,2,Y,,,,,,88,PS261,
K,275,2,Y,,,,,,88,PS261,
K,277,2,Y,,,,,,88,PS261,
K,281,5,Y,,,,,,88,PS261,
K,282,5,Y,,,,,,88,PS261,
K,283,4,N,,,,,,88,PS261,
K,288,4,N,,,,,,88,PS261,
K,289,4,N,,,,,,88,PS261,
T,40,6,N,,,Atlantic Av - Barclays Ctr,B-Q,,88,PS261,
T,291,3,N,,,Clinton - Washington Aves,G,,88,PS261,
T,338,6,N,,,Atlantic Av - Barclays Ctr,2-3-4-5,,88,PS261,
X,308,1,,,,,,,42,Bronx High School For Law and Community Service
X,311,1,YES,,,,,,42,Bronx High School For Law and Community Service
X,312,1,YES,,,,,,42,Bronx High School For Law and Community Service
X,318,8,,,,,,,42,Bronx High School For Law and Community Service
X,329,8,YES,,,,,,42,Bronx High School For Law and Community Service
X,330,8,YES,,,,,,42,Bronx High School For Law and Community Service
X,336,9,,,,,,,42,Bronx High School For Law and Community Service
X,414,10,YES,,,,,,42,Bronx High School For Law and Community Service
X,416,10,YES,,,,,,42,Bronx High School For Law and Community Service
X,421,10,YES,,,BUTLER,,,42,Bronx High School For Law and Community Service
X,423,11,,,,,,,42,Bronx High School For Law and Community Service
X,478,9,,,,,,,42,Bronx High School For Law and Community Service
T,428,1,,,,174 St,2-5,,42,Bronx High School For Law and Community Service
T,429,1,,,,Freeman St,2-5,,42,Bronx High School For Law and Community Service
X,433,16,,,,,,,46,Bronx High School For Law and Community Service
X,435,14,,,,,,,46,Bronx High School For Law and Community Service
X,436,11,,,,,,,46,Bronx High School For Law and Community Service
X,438,16,,,,,,,46,Bronx High School For Law and Community Service
X,439,15,YES,,,,,,46,Bronx High School For Law and Community Service
X,440,14,,,,,,,46,Bronx High School For Law and Community Service
X,442,14,YES,,,,,,46,Bronx High School For Law and Community Service
X,446,15,,,,,,,46,Bronx High School For Law and Community Service
X,457,15,,,,,,,46,Bronx High School For Law and Community Service
X,459,13,YES,,,,,,46,Bronx High School For Law and Community Service
X,460,12,YES,,,,,,46,Bronx High School For Law and Community Service
X,556,12,YES,,,,,,46,Bronx High School For Law and Community Service
X,558,13,,,,,,,46,Bronx High School For Law and Community Service
X,559,12,,,,,,,46,Bronx High School For Law and Community Service
T,213,13,,,,Fordham Rd,B-D,,46,Bronx High School For Law and Community Service
T,214,16,,,,182-183 Sts,B-D,,46,Bronx High School For Law and Community Service
T,215,14,,,,Tremont Av,B-D,,46,Bronx High School For Law and Community Service
T,384,13,,,,Burnside Av,4,,46,Bronx High School For Law and Community Service
X,389,2,YES,,,,,,48,Bronx High School For Law and Community Service
X,392,2,,,,,,,48,Bronx High School For Law and Community Service
X,395,2,,,,,,,48,Bronx High School For Law and Community Service
X,397,2,YES,,,,,,48,Bronx High School For Law and Community Service
X,407,7,YES,,,,,,48,Bronx High School For Law and Community Service
X,411,7,,,,,,,48,Bronx High School For Law and Community Service
X,420,11,,,,,,,48,Bronx High School For Law and Community Service
X,424,11,,,,,,,48,Bronx High School For Law and Community Service
X,429,17,,,,,,,48,Bronx High School For Law and Community Service
X,431,17,,,,,,,48,Bronx High School For Law and Community Service
X,102,6,,,,,,,49,Bronx High School For Law and Community Service
X,105,5,,,,,,,49,Bronx High School For Law and Community Service
X,106,5,,,,,,,49,Bronx High School For Law and Community Service
X,110,6,,,,,,,49,Bronx High School For Law and Community Service
X,124,4,,,,,,,49,Bronx High School For Law and Community Service
X,131,4,,,,,,,49,Bronx High School For Law and Community Service
X,162,18,,,,,,,49,Bronx High School For Law and Community Service
X,191,HTR,,1,,,,,49,Bronx High School For Law and Community Service
X,199,3,,,,,,,49,Bronx High School For Law and Community Service
X,612,18,YES,,,,,,49,Bronx High School For Law and Community Service
X,893,HTR,YES,1,,,,,49,Bronx High School For Law and Community Service
X,895,HTR,YES,1,,,,,49,Bronx High School For Law and Community Service
